	Addendum J for CY2025 evaluation statistics for complexity adjustments of combinations of comprehensive HCPCS codes												
Primary HCPCS Code	Primary Short Descriptor	Primary SI	Primary APC Assignment	Secondary J1 or Add-on HCPCS Code	Secondary Short Descriptor	Secondary SI	Secondary APC Assignment	Complexity Adjusted APC Assignment	Evaluation Subset Combination Frequency	Evaluation Subset Combination Geometric Mean Cost	Comparison Low Cost HCPCS	Cost Threshold	Qualifying Complexity Adjustment
10121	Inc&rmvl fb subq tiss comp	J1	5072	10121	Inc&rmvl fb subq tiss comp	J1	5072	5073	5	"1,206.95"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	10140	I&d hmtma seroma/fluid collj	J1	5072	5073	1	"6,778.43"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	2	"2,474.11"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	20103	Expl pentrg wound extremity	J1	5072	5073	1	594.99	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	25248	Remove forearm foreign body	J1	5112	5073	1	"5,549.47"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	26011	Drainage of finger abscess	J1	5072	5073	4	"1,382.64"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	26055	Incise finger tendon sheath	J1	5112	5073	4	"1,720.76"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	26116	Exc hand tum deep < 1.5 cm	J1	5072	5073	2	"1,407.27"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	26160	Remove tendon sheath lesion	J1	5112	5073	1	"1,639.41"	11422	"2,685.26"	N
10121	Inc&rmvl fb subq tiss comp	J1	5072	49406	Image cath fluid peri/retro	J1	5072	5073	1	"5,190.67"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	1	"3,478.28"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	1	"2,502.03"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	10140	I&d hmtma seroma/fluid collj	J1	5072	5073	105	"2,168.50"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	15853	Removal sutr/stapl xreq anes	N	 	5073	2	"1,239.25"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	15854	Removal sutr&stapl xreq anes	N	 	5073	2	990.52	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	19083	Bx breast 1st lesion us imag	J1	5072	5073	2	"4,577.44"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	19100	Bx breast percut w/o image	J1	5072	5073	1	"8,454.88"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	20500	Injection of sinus tract	J1	5163	5073	1	"1,559.44"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	21315	Clsd tx nsl fx mnpj wo stblj	J1	5163	5073	1	"3,092.13"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	21550	Biopsy of neck/chest	J1	5072	5073	1	"2,837.54"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	25605	Cltx dst rdl fx/ephys sep w/	J1	5112	5073	4	"1,393.99"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	27040	Biopsy of soft tissues	J1	5072	5073	1	"4,327.45"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	27810	Treatment of ankle fracture	J1	5112	5073	1	"5,146.52"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	27818	Treatment of ankle fracture	J1	5112	5073	1	"2,899.84"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	28010	Incision of toe tendon	J1	5112	5073	1	"2,636.74"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	29848	Wrist endoscopy/surgery	J1	5112	5073	1	"4,003.79"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	38505	Needle biopsy lymph nodes	J1	5072	5073	1	"1,704.30"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	49180	Biopsy abdominal mass	J1	5072	5073	1	"1,948.98"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	69005	Drg xtrnl ear absc/hem comp	J1	5072	5073	1	"2,364.05"	11422	"2,685.26"	N
10140	I&d hmtma seroma/fluid collj	J1	5072	93642	Ep evl 1/2chmb trnsvns cvdfb	J1	5211	5073	1	"5,203.10"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	1	"7,389.65"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	0754T	Dgtz gls mcrscp sld level v	N	 	5073	1	"5,493.31"	11422	"2,685.26"	N
