	Addendum J for CY2025 complexity adjustments of combinations of comprehensive HCPCS codes								
Primary HCPCS Code	Primary Short Descriptor	Primary SI	Primary APC Assignment	Secondary J1 or Add-on HCPCS Code	Secondary Short Descriptor	Secondary SI	Secondary APC Assignment	Complexity Adjusted HCPCS Assignment	Complexity Adjusted APC Assignment
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	1104D	5073
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	20220	Bone biopsy trocar/ndl supfc	J1	5072	1104D	5073
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	20700	Mnl prep&insj dp rx dlvr dev	N	 	1104D	5073
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	1140G	5073
11606	Exc tr-ext mal+marg >4 cm	J1	5072	11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	1160G	5073
11606	Exc tr-ext mal+marg >4 cm	J1	5072	11606	Exc tr-ext mal+marg >4 cm	J1	5072	1160G	5073
11606	Exc tr-ext mal+marg >4 cm	J1	5072	11623	Exc s/n/h/f/g mal+mrg 2.1-3	J1	5072	1160G	5073
11606	Exc tr-ext mal+marg >4 cm	J1	5072	11643	Exc f/e/e/n/l mal+mrg 2.1-3	J1	5072	1160G	5073
11624	Exc s/n/h/f/g mal+mrg 3.1-4	J1	5072	11643	Exc f/e/e/n/l mal+mrg 2.1-3	J1	5072	1162D	5073
11643	Exc f/e/e/n/l mal+mrg 2.1-3	J1	5072	11623	Exc s/n/h/f/g mal+mrg 2.1-3	J1	5072	1164C	5073
11644	Exc f/e/e/n/l mal+mrg 3.1-4	J1	5072	11643	Exc f/e/e/n/l mal+mrg 2.1-3	J1	5072	1164D	5073
19081	Bx breast 1st lesion strtctc	J1	5072	19081	Bx breast 1st lesion strtctc	J1	5072	1908A	5073
19081	Bx breast 1st lesion strtctc	J1	5072	19082	Bx breast add lesion strtctc	N	 	1908A	5073
19081	Bx breast 1st lesion strtctc	J1	5072	19083	Bx breast 1st lesion us imag	J1	5072	1908A	5073
19081	Bx breast 1st lesion strtctc	J1	5072	38505	Needle biopsy lymph nodes	J1	5072	1908A	5073
19083	Bx breast 1st lesion us imag	J1	5072	19083	Bx breast 1st lesion us imag	J1	5072	1908C	5073
19083	Bx breast 1st lesion us imag	J1	5072	38505	Needle biopsy lymph nodes	J1	5072	1908C	5073
19085	Bx breast 1st lesion mr imag	J1	5072	19083	Bx breast 1st lesion us imag	J1	5072	1908E	5073
19085	Bx breast 1st lesion mr imag	J1	5072	19085	Bx breast 1st lesion mr imag	J1	5072	1908E	5073
19085	Bx breast 1st lesion mr imag	J1	5072	19086	Bx breast add lesion mr imag	N	 	1908E	5073
19085	Bx breast 1st lesion mr imag	J1	5072	38505	Needle biopsy lymph nodes	J1	5072	1908E	5073
20225	Bone biopsy trocar/ndl deep	J1	5072	20206	Biopsy muscle perq needle	J1	5072	2022E	5073
20225	Bone biopsy trocar/ndl deep	J1	5072	20220	Bone biopsy trocar/ndl supfc	J1	5072	2022E	5073
20225	Bone biopsy trocar/ndl deep	J1	5072	32408	Core ndl bx lng/med perq	J1	5072	2022E	5073
20225	Bone biopsy trocar/ndl deep	J1	5072	38505	Needle biopsy lymph nodes	J1	5072	2022E	5073
