	Addendum J for CY2025 ranks to determine primary assignment of comprehensive HCPCS codes									
HCPCS Code	Short Descriptor	SI	APC Assignment	APC Geometric Mean Cost of Single J1 Unit Claims	Full Claim Population Service Frequency	Single J1 Unit Claim Service Frequency	Geometric Mean Cost of Single J1 Unit Claims	Rank Used for Primary Assignment	Deleted Code	
38240	Transplt allo hct/donor	J1	5244	"63,470.81"	62	62	"63,470.81"	1	 	
69930	Implant cochlear device	J1	5166	"32,162.10"	"3,997"	"3,630"	"32,162.10"	2	 	
0408T	Insj/rplc cardiac modulj sys	J1	5232	"31,970.44"	311	302	"38,609.52"	3	 	
33270	Ins/rep subq defibrillator	J1	5232	"31,970.44"	457	421	"37,264.80"	4	 	
33249	Insj/rplcmt defib w/lead(s)	J1	5232	"31,970.44"	"17,625"	"16,115"	"33,846.40"	5	 	
0915T	Insj perm ccm-d sys pg&eltrd	J1	5232	"31,970.44"	0	0	"31,970.44"	6	 	
33231	Insrt pulse gen w/mult leads	J1	5232	"31,970.44"	72	65	"30,590.49"	7	 	
33264	Rmvl & rplcmt dfb gen mlt ld	J1	5232	"31,970.44"	"11,003"	"10,661"	"29,012.37"	8	 	
0571T	Insj/rplcmt icds ss eltrd	J1	5232	"31,970.44"	6	6	"24,104.36"	9	 	
0427T	Insj/rplc nstim apnea pls gn	J1	5465	"29,828.25"	12	8	"58,235.93"	10	YES	
64568	Opn impltj crnl nrv nea&pg	J1	5465	"29,828.25"	305	262	"44,973.54"	11	 	
0431T	Rmvl/rplc nstim apnea pls gn	J1	5465	"29,828.25"	0	25	"41,395.41"	12	YES	
64582	Opn mpltj hpglsl nstm ary pg	J1	5465	"29,828.25"	"5,052"	"4,416"	"33,627.01"	13	 	
0268T	Implt/rpl crtd sns dev gen	J1	5465	"29,828.25"	10	10	"32,300.51"	14	 	
0312T	Laps impltj nstim vagus	J1	5465	"29,828.25"	0	0	"29,828.25"	15	YES	
0316T	Replc vagus nerve pls gen	J1	5465	"29,828.25"	0	0	"29,828.25"	16	YES	
0674T	Laps insj nw/rpcmt prm isdss	J1	5465	"29,828.25"	0	0	"29,828.25"	17	 	
33287	Rmv&rplcmt phrnc nrv stim pg	J1	5465	"29,828.25"	0	3	"28,924.27"	18	 	
61886	Implant neurostim arrays	J1	5465	"29,828.25"	"3,416"	"3,302"	"28,456.33"	19	 	
63685	Ins/rplc spi npg/rcvr pocket	J1	5465	"29,828.25"	"11,565"	"2,966"	"25,250.86"	20	 	
33289	Tcat impl wrls p-art prs snr	J1	5200	"28,729.35"	"2,526"	"2,433"	"28,729.35"	21	 	
C9741	Impl pressure sensor w/angio	J1	5200	"28,729.35"	0	0	"28,729.35"	22	YES	
93656	Compre ep eval abltj atr fib	J1	5213	"24,689.68"	"69,414"	"67,670"	"27,174.16"	23	 	
93654	Compre ep eval tx vt	J1	5213	"24,689.68"	"5,993"	"5,659"	"22,813.15"	24	 	
93653	Compre ep eval tx svt	J1	5213	"24,689.68"	"22,348"	"21,165"	"18,560.92"	25	 	
33240	Insrt pulse gen w/singl lead	J1	5231	"22,690.44"	20	18	"27,741.51"	26	 	
33230	Insrt pulse gen w/dual leads	J1	5231	"22,690.44"	45	41	"23,211.63"	27	 	
33263	Rmvl & rplcmt dfb gen 2 lead	J1	5231	"22,690.44"	"4,044"	"3,962"	"22,799.45"	28	 	
0409T	Insj/rplc car modulj pls gn	J1	5231	"22,690.44"	0	0	"22,690.44"	29	 	
0414T	Rmvl & rpl car modulj pls gn	J1	5231	"22,690.44"	0	0	"22,690.44"	30	 	
0515T	Insj wcs lv compl sys	J1	5231	"22,690.44"	0	0	"22,690.44"	31	 	
0614T	Rmvl&rplcmt ss impl dfb pg	J1	5231	"22,690.44"	0	0	"22,690.44"	32	 	
0916T	Insj perm ccm-d sys pg only	J1	5231	"22,690.44"	0	0	"22,690.44"	33	 	
0923T	Rmvl&rplcmt perm ccm-d pg	J1	5231	"22,690.44"	0	0	"22,690.44"	34	 	
33262	Rmvl& replc pulse gen 1 lead	J1	5231	"22,690.44"	"1,837"	"1,815"	"22,399.26"	35	 	
61885	Insrt/redo neurostim 1 array	J1	5464	"21,431.56"	"3,125"	"2,744"	"28,461.33"	36	 	
64580	Opn impltj nea neuromuscular	J1	5464	"21,431.56"	7	1	"23,318.96"	37	 	
0680T	Insj/rplcmt pg only isdss	J1	5464	"21,431.56"	0	0	"21,431.56"	38	 	
0816T	Opn insj/rplcmt ins ptn subq	J1	5464	"21,431.56"	0	0	"21,431.56"	39	 	
0817T	Opn insj/rplcmt ins ptn subf	J1	5464	"21,431.56"	0	0	"21,431.56"	40	 	
61891	Rev/rplcmt sk-mnt crnl nstm	J1	5464	"21,431.56"	0	0	"21,431.56"	41	 	
63655	Implant neuroelectrodes	J1	5464	"21,431.56"	"3,538"	332	"18,319.22"	42	 	
64590	Ins/rpl prph sac/gstr npg/r	J1	5464	"21,431.56"	"11,022"	"3,592"	"17,462.29"	43	 	
53445	Insert uro/ves nck sphincter	J1	5378	"20,244.43"	"1,827"	"1,647"	"22,933.71"	44	 	
53447	Remove/replace ur sphincter	J1	5378	"20,244.43"	567	515	"20,612.07"	45	 	
54401	Insert self-contd prosthesis	J1	5378	"20,244.43"	231	209	"19,523.32"	46	 	
54405	Insert multi-comp penis pros	J1	5378	"20,244.43"	"3,431"	"2,933"	"19,434.46"	47	 	
54411	Remov/replc penis pros comp	J1	5378	"20,244.43"	31	27	"18,789.96"	48	 	
54410	Remove/replace penis prosth	J1	5378	"20,244.43"	986	856	"18,627.77"	49	 	
53444	Insert tandem cuff	J1	5378	"20,244.43"	15	14	"18,050.34"	50	 	
54416	Remv/repl penis contain pros	J1	5378	"20,244.43"	113	102	"17,639.91"	51	 	
20696	App mltpln uni xtrnl fix 1st	J1	5116	"18,440.63"	13	4	"35,343.34"	52	 	
22630	Arthrd pst tq 1ntrspc lum	J1	5116	"18,440.63"	"1,976"	"1,807"	"27,205.89"	53	 	
