ADDENDUM L - FINAL RULE CY 2025 OPPS OUT MIGRATION ADJUSTMENT					
CCN	Geographic CBSA	Reclassification for CY 2025	Out-Migration Adjustment	County Name	FIPS County Code
010006	22520	Y	0.0089	LAUDERDALE	01077
010022	01	Y	0.1017	CHEROKEE	01019
010029	12220	Y	0.0315	LEE	01081
010035	01	Y	0.0583	CULLMAN	01043
010040	23460	Y	0.0036	ETOWAH	01055
010045	01	Y	0.0904	FAYETTE	01057
010046	23460	Y	0.0036	ETOWAH	01055
010052	01		0.0092	TALLAPOOSA	01123
010061	01	Y	0.0600	JACKSON	01071
010065	01	Y	0.0092	TALLAPOOSA	01123
010083	19300		0.0110	BALDWIN	01003
010089	13820	Y	0.0263	WALKER	01127
010100	19300		0.0110	BALDWIN	01003
010118	01	Y	0.0113	DALLAS	01047
010126	01	Y	0.0080	PIKE	01109
010129	19300		0.0110	BALDWIN	01003
010150	01	Y	0.0336	BUTLER	01013
010173	13820		0.0017	CHILTON	01021
010175	01		0.0110	CHAMBERS	01017
013032	23460		0.0036	ETOWAH	01055
040071	04	Y	0.0127	JEFFERSON	05069
040072	04	Y	0.0037	ARKANSAS	05001
040076	04	Y	0.0861	HOT SPRING	05059
050002	36084		0.0160	ALAMEDA	06001
050007	41884		0.0106	SAN MATEO	06081
050009	34900	Y	0.0959	NAPA	06055
050013	34900		0.0959	NAPA	06055
050014	05	Y	0.1084	AMADOR	06005
050042	05	Y	0.0115	TEHAMA	06103
050043	36084		0.0160	ALAMEDA	06001
050067	33700	Y	0.0477	STANISLAUS	06099
050070	41884		0.0106	SAN MATEO	06081
050075	36084	Y	0.0160	ALAMEDA	06001
050084	44700	Y	0.0535	SAN JOAQUIN	06077
050090	42220		0.0176	SONOMA	06097
050113	41884		0.0106	SAN MATEO	06081
050118	44700		0.0535	SAN JOAQUIN	06077
050122	44700		0.0535	SAN JOAQUIN	06077
050131	42034		0.0452	MARIN	06041
050133	49700	Y	0.0284	YUBA	06115
050136	42220		0.0176	SONOMA	06097
050150	05	Y	0.0971	NEVADA	06057
050167	44700		0.0535	SAN JOAQUIN	06077
050174	42220	Y	0.0176	SONOMA	06097
050179	33700		0.0477	STANISLAUS	06099
050194	42100		0.0327	SANTA CRUZ	06087
050195	36084	Y	0.0160	ALAMEDA	06001
050197	41884	Y	0.0106	SAN MATEO	06081
050211	36084		0.0160	ALAMEDA	06001
050242	42100		0.0327	SANTA CRUZ	06087
050283	36084	Y	0.0160	ALAMEDA	06001
050289	41884		0.0106	SAN MATEO	06081
050291	42220		0.0176	SONOMA	06097
050305	36084		0.0160	ALAMEDA	06001
050313	44700		0.0535	SAN JOAQUIN	06077
050320	36084		0.0160	ALAMEDA	06001
050336	44700		0.0535	SAN JOAQUIN	06077
050360	42034		0.0452	MARIN	06041
050464	33700		0.0477	STANISLAUS	06099
050488	36084		0.0160	ALAMEDA	06001
050510	42034		0.0452	MARIN	06041
050512	36084	Y	0.0160	ALAMEDA	06001
050541	41884		0.0106	SAN MATEO	06081
050557	33700		0.0477	STANISLAUS	06099
050690	42220		0.0176	SONOMA	06097
050714	42100		0.0327	SANTA CRUZ	06087
050726	33700		0.0477	STANISLAUS	06099
050748	44700	Y	0.0535	SAN JOAQUIN	06077
050766	49700		0.0133	SUTTER	06101
050777	36084	Y	0.0160	ALAMEDA	06001
052034	36084		0.0160	ALAMEDA	06001
052043	42034		0.0452	MARIN	06041
052055	33700		0.0477	STANISLAUS	06099
052057	42220		0.0176	SONOMA	06097
053040	33700		0.0477	STANISLAUS	06099
053301	36084		0.0160	ALAMEDA	06001
054122	34900		0.0959	NAPA	06055
054123	44700		0.0535	SAN JOAQUIN	06077
080006	08		0.0103	SUSSEX	10005
080007	08	Y	0.0103	SUSSEX	10005
080009	08	Y	0.0103	SUSSEX	10005
100232	10	Y	0.0176	PUTNAM	12107
110002	11	Y	0.0631	UPSON	13293
110016	11	Y	0.0392	TROUP	13285
110023	11	Y	0.0366	GORDON	13129
110029	23580	Y	0.0084	HALL	13139
110146	11		0.1111	CAMDEN	13039
110150	11	Y	0.0055	BALDWIN	13009
110184	12054		0.0058	DOUGLAS	13097
110237	12054		0.0564	LUMPKIN	13187
130003	30300	Y	0.0324	NEZ PERCE	16069
130049	17660	Y	0.0290	KOOTENAI	16055
130066	17660		0.0290	KOOTENAI	16055
132001	17660		0.0290	KOOTENAI	16055
133027	17660		0.0290	KOOTENAI	16055
140084	29404		0.0129	LAKE	17097
140100	29404		0.0129	LAKE	17097
140130	29404		0.0129	LAKE	17097
140160	14	Y	0.0454	STEPHENSON	17177
140161	14	Y	0.0109	LIVINGSTON	17105
140202	29404		0.0129	LAKE	17097
140291	29404		0.0129	LAKE	17097
143031	29404		0.0129	LAKE	17097
150006	33140		0.0037	LA PORTE	18091
150015	33140	Y	0.0037	LA PORTE	18091
150022	15	Y	0.0329	MONTGOMERY	18107
150030	15		0.0611	HENRY	18065
150076	15	Y	0.0588	MARSHALL	18099
150089	34620		0.0026	DELAWARE	18035
150091	15	Y	0.0500	HUNTINGTON	18069
150146	15	Y	0.0170	NOBLE	18113
150191	33140		0.0037	LA PORTE	18091
160045	16300	Y	0.0091	LINN	19113
160079	16300	Y	0.0091	LINN	19113
160147	16	Y	0.0145	POWESHIEK	19157
170014	17	Y	0.0395	FRANKLIN	20059
170137	29940	Y	0.0097	DOUGLAS	20045
180012	21060	Y	0.0051	HARDIN	21093
180017	18	Y	0.0119	BARREN	21009
180025	31140		0.0388	NELSON	21179
180048	18	Y	0.0164	BOYLE	21021
180049	18	Y	0.0406	MADISON	21151
180056	18	Y	0.0999	HENDERSON	21101
180064	18		0.0572	MONTGOMERY	21173
180127	18	Y	0.0490	FRANKLIN	21073
183028	21060		0.0051	HARDIN	21093
190015	25220		0.0144	TANGIPAHOA	22105
190040	43640		0.0043	ST. TAMMANY	22103
190045	43640		0.0043	ST. TAMMANY	22103
190086	19	Y	0.0114	LINCOLN	22061
190099	19		0.0569	AVOYELLES	22009
190184	19	Y	0.0082	CALDWELL	22021
190190	19	Y	0.0082	CALDWELL	22021
190204	43640		0.0043	ST. TAMMANY	22103
190256	43640		0.0043	ST. TAMMANY	22103
190267	43640		0.0043	ST. TAMMANY	22103
190270	43640		0.0043	ST. TAMMANY	22103
190303	25220		0.0144	TANGIPAHOA	22105
190312	19		0.0020	WASHINGTON	22117
192036	25220		0.0144	TANGIPAHOA	22105
192048	43640		0.0043	ST. TAMMANY	22103
194091	25220		0.0144	TANGIPAHOA	22105
194117	25220		0.0144	TANGIPAHOA	22105
200024	30340	Y	0.0156	ANDROSCOGGIN	23001
200034	30340		0.0156	ANDROSCOGGIN	23001
200050	20		0.0101	HANCOCK	23009
230002	19804		0.0007	WAYNE	26163
230005	23		0.0956	LENAWEE	26091
230015	23		0.0139	ST. JOSEPH	26149
230020	19804	Y	0.0007	WAYNE	26163
230021	35660	Y	0.0244	BERRIEN	26021
230024	19804	Y	0.0007	WAYNE	26163
230041	13020	Y	0.0022	BAY	26017
230053	19804	Y	0.0007	WAYNE	26163
230069	47664		0.0035	LIVINGSTON	26093
230075	12980		0.0009	CALHOUN	26025
230078	35660	Y	0.0244	BERRIEN	26021
230089	19804		0.0007	WAYNE	26163
230092	27100		0.0509	JACKSON	26075
230093	23	Y	0.0170	MECOSTA	26107
230099	33780		0.0623	MONROE	26115
230104	19804	Y	0.0007	WAYNE	26163
230142	19804		0.0007	WAYNE	26163
230146	19804	Y	0.0007	WAYNE	26163
230165	19804	Y	0.0007	WAYNE	26163
230176	19804		0.0007	WAYNE	26163
230217	12980		0.0009	CALHOUN	26025
230244	19804		0.0007	WAYNE	26163
230270	19804		0.0007	WAYNE	26163
230273	19804	Y	0.0007	WAYNE	26163
230297	19804		0.0007	WAYNE	26163
232019	19804		0.0007	WAYNE	26163
232020	13020		0.0022	BAY	26017
233027	19804		0.0007	WAYNE	26163
233300	19804		0.0007	WAYNE	26163
240018	24	Y	0.0969	GOODHUE	27049
240069	24	Y	0.0455	STEELE	27147
240071	24		0.0634	RICE	27131
240166	24	Y	0.0061	MARTIN	27091
240187	24		0.0109	MC LEOD	27085
250002	25	Y	0.0051	TISHOMINGO	28141
250031	25	Y	0.0112	WARREN	28149
250042	25		0.0140	COAHOMA	28027
250084	25	Y	0.0178	ADAMS	28001
260001	27900	Y	0.0024	JASPER	29097
260025	26	Y	0.0680	MARION	29127
262016	27900		0.0024	JASPER	29097
280077	28		0.0232	DODGE	31053
290019	16180		0.0049	CARSON CITY	32510
300011	31700		0.0403	HILLSBOROUGH	33011
300012	31700		0.0403	HILLSBOROUGH	33011
300017	40484		0.0737	ROCKINGHAM	33015
300020	31700		0.0403	HILLSBOROUGH	33011
300023	40484	Y	0.0737	ROCKINGHAM	33015
300029	40484		0.0737	ROCKINGHAM	33015
300034	31700		0.0403	HILLSBOROUGH	33011
303026	40484		0.0737	ROCKINGHAM	33015
310002	35084		0.0484	ESSEX	34013
310009	35084		0.0484	ESSEX	34013
310010	29484		0.0249	MIDDLESEX	34023
310015	35084	Y	0.0252	MORRIS	34027
310017	35084	Y	0.0252	MORRIS	34027
310034	29484		0.0233	MONMOUTH	34025
310038	29484	Y	0.0249	MIDDLESEX	34023
310039	29484		0.0249	MIDDLESEX	34023
310050	35084	Y	0.0252	MORRIS	34027
310054	35084		0.0484	ESSEX	34013
310070	29484		0.0249	MIDDLESEX	34023
