CY 2025 OPPS/ASC FINAL RULE		
"Addendum O: Long Descriptors for New Category I CPT Codes, Category III CPT Codes, C-codes, and G-Codes Effective January 1, 2025"		
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply. 		
"NOTE:  As discussed in sections III.A. (Proposed OPPS Treatment of New and Revised HCPCS Codes) and XIII.B (Proposed ASC Treatment of New and Revised Codes) of the CY 2025 OPPS/ASC proposed rule, we requested comments on new CPT codes that would be effective January 1, 2025, which are listed below. Specifically, we requested comments on the OPPS status indicator and APC assignments, as well as the ASC payment indicator assignments for the codes assigned to comment indicator ""NP"" (New code for the next calendar year or existing code with substantial revision to its code descriptor in the next calendar year as compared to current calendar year, proposed APC assignment; comments will be accepted on the proposed APC assignment for the new code.). We note that because the CPT code descriptors that appeared in Addendum B are short descriptors and do not accurately describe the complete procedure, service, or item described by the CPT code, we included the 5-digit placeholder codes and their long descriptors for the new and revised CY 2025 CPT codes in Addendum O to the proposed rule so that the public could adequately comment on our proposed APCs and status indicator assignments. Listed below in column A are the final CY 2025 CPT codes for the placeholder codes. The final CY 2025 payment rates for these codes can be found in OPPS Addendum B, ASC Addendum AA, and ASC Addendum BB of the CY 2025 OPPS/ASC final rule with comment period, which are available via the internet on the CMS website."		
	CY 2025 OPPS/ASC                                                                                                                                              Proposed Rule                                                                                                                                         5-Digit AMA/CMS Placeholder Code	Long Descriptor
CY 2025                       OPPS/ASC                                                                                                                                              Final Rule                                                                                                                                         CPT/ HCPCS Code	CY 2025 OPPS/ASC                                                                                                                                              Proposed Rule                                                                                                                                         5-Digit AMA/CMS Placeholder Code	Long Descriptor
15011	15XX1	Harvest of skin for skin cell suspension autograft; first 25 sq cm or less
15012	15XX2	Harvest of skin for skin cell suspension autograft; each additional 25 sq cm or part thereof (List separately in addition to code for primary procedure)
15013	15XX3	"Preparation of skin cell suspension autograft, requiring enzymatic processing, manual mechanical disaggregation of skin cells, and filtration; first 25 sq cm or less of harvested skin"
15014	15XX4	"Preparation of skin cell suspension autograft, requiring enzymatic processing, manual mechanical disaggregation of skin cells, and filtration; each additional 25 sq cm of harvested skin or part thereof (List separately in addition to code for primary procedure)"
15015	15XX5	"Application of skin cell suspension autograft to wound and donor sites, including application of primary dressing, trunk, arms, legs; first 480 sq cm or less"
15016	15XX6	"Application of skin cell suspension autograft to wound and donor sites, including application of primary dressing, trunk, arms, legs; each additional 480 sq cm or part thereof (List separately in addition to code for primary procedure)"
15017	15XX7	"Application of skin cell suspension autograft to wound and donor sites, including application of primary dressing, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 480 sq cm or less"
15018	15XX8	"Application of skin cell suspension autograft to wound and donor sites, including application of primary dressing, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 480 sq cm or part thereof (List separately in addition to code for primary procedure)"
25448	2X005	"Arthroplasty, intercarpal or carpometacarpal joints; suspension, including transfer or transplant of tendon, with interposition, when performed"
38225	3X018	"Chimeric antigen receptor T-cell (CAR-T) therapy; harvesting of blood-derived T lymphocytes for development of genetically modified autologous CAR-T cells, per day"
38226	3X019	"Chimeric antigen receptor T-cell (CAR-T) therapy; preparation of blood-derived T lymphocytes for transportation (eg, cryopreservation, storage)"
38227	3X020	Chimeric antigen receptor T-cell (CAR-T) therapy; receipt and preparation of CAR-T cells for administration
38228	3X021	"Chimeric antigen receptor T-cell (CAR-T) therapy; CAR-T cell administration, autologous"
49186	4X015	"Excision or destruction, open, intra-abdominal (ie, peritoneal, mesenteric, retroperitoneal), primary or secondary tumor(s) or cyst(s), sum of the maximum length of tumor(s) or cyst(s); 5 cm or less"
49187	4X016	"Excision or destruction, open, intra-abdominal (ie, peritoneal, mesenteric, retroperitoneal), primary or secondary tumor(s) or cyst(s), sum of the maximum length of tumor(s) or cyst(s); 5.1 to 10 cm"
49188	4X017	"Excision or destruction, open, intra-abdominal (ie, peritoneal, mesenteric, retroperitoneal), primary or secondary tumor(s) or cyst(s), sum of the maximum length of tumor(s) or cyst(s); 10.1 to 20 cm"
49189	4X018	"Excision or destruction, open, intra-abdominal (ie, peritoneal, mesenteric, retroperitoneal), primary or secondary tumor(s) or cyst(s), sum of the maximum length of tumor(s) or cyst(s); 20.1 to 30 cm"
49190	4X019	"Excision or destruction, open, intra-abdominal (ie, peritoneal, mesenteric, retroperitoneal), primary or secondary tumor(s) or cyst(s), sum of the maximum length of tumor(s) or cyst(s); greater than 30 cm"
51721	5X006	"Insertion of transurethral ablation transducer for delivery of thermal ultrasound for prostate tissue ablation, including suprapubic tube placement during the same session and placement of an endorectal cooling device, when performed"
55881	5X007	"Ablation of prostate tissue, transurethral, using thermal ultrasound, including magnetic resonance imaging guidance for, and monitoring of, tissue ablation; "
55882	5X008	"Ablation of prostate tissue, transurethral, using thermal ultrasound, including magnetic resonance imaging guidance for, and monitoring of, tissue ablation; with insertion of transurethral ultrasound transducer for delivery of thermal ultrasound, including suprapubic tube placement and placement of an endorectal cooling device, when performed"
53865	5XX05	"Cystourethroscopy with insertion of temporary device for ischemic remodeling (ie, pressure necrosis) of bladder neck and prostate"
53866	5XX06	"Catheterization with removal of temporary device for ischemic remodeling (ie, pressure necrosis) of bladder neck and prostate"
66683	6X004	"Implantation of iris prosthesis, including suture fixation and repair or removal of iris, when performed"
61715	6XX00	"Magnetic resonance image guided high intensity focused ultrasound (MRgFUS), stereotactic ablation of target, intracranial, including stereotactic navigation and frame placement, when performed"
60660	6XX01	"Ablation of 1 or more thyroid nodule(s), one lobe or the isthmus, percutaneous, including imaging guidance, radiofrequency"
60661	6XX02	"Ablation of 1 or more thyroid nodule(s), additional lobe, percutaneous, including imaging guidance, radiofrequency (List separately in addition to code for primary procedure)"
64466	6XX07	"Thoracic fascial plane block, unilateral; by injection(s), including imaging guidance, when performed"
64467	6XX08	"Thoracic fascial plane block, unilateral; by continuous infusion(s), including imaging guidance, when performed"
64468	6XX09	"Thoracic fascial plane block, bilateral; by injection(s), including imaging guidance, when performed"
64469	6XX10	"Thoracic fascial plane block, bilateral; by continuous infusion(s), including imaging guidance, when performed"
64473	6XX11	"Lower extremity fascial plane block, unilateral; by injection(s), including imaging guidance, when performed"
