Addendum Q - CY 2025 Final Rule Payment Rates for Drugs Qualifying for Add-on Payment to IHS and Tribal Hospitals Based on CY 2024 AIR			
"The HCPCS codes in Addendum Q represent drugs and biologicals with a per day cost (cost per unit * units per day) above our final threshold of two times the CY 2024 AIR ($1,334)."			
*CPT codes and descriptions only are copyright 2023 American Medical Association.ÿ All Rights Reserved.ÿApplicable FARS/DFARS Apply. 			
HCPCS	Short Descriptor	Payment Rate	
90375	Rabies ig im/sc	$271.42	
90376	Rabies ig heat treated	$452.57	
90377	Rabies ig ht&sol human im/sc	$250.48	
90396	Varicella-zoster ig im	"$2,123.31"	
A9513	Lutetium lu 177 dotatat ther	$279.48	
A9515	Choline c-11	"$1,946.17"	
A9517	"I131 iodide cap, rx"	$21.82	
A9530	"I131 iodide sol, rx"	$19.70	
A9543	"Y90 ibritumomab, rx"	"$13,938.43"	
A9572	Indium in-111 pentetreotide	"$1,806.24"	
A9582	Iodine i-123 iobenguane	"$1,957.37"	
A9586	Florbetapir f18	"$2,070.40"	
A9587	Gallium ga-68	$48.20	
A9588	Fluciclovine f-18	$253.23	
A9591	Fluoroestradiol f 18	$470.44	
A9592	Copper cu 64 dotatate diag	$561.42	
A9593	Gallium ga-68 psma-11 ucsf	$504.63	
A9594	"Gallium ga-68 psma-11, ucla"	$351.10	
A9595	"Piflu f-18, dia 1 millicurie"	$313.62	
A9596	Gallium illuccix 1 millicure	$967.97	
A9600	Sr89 strontium	"$1,642.19"	
A9601	Flortaucipir inj 1 millicuri	"$3,500.00"	
A9602	Fluorodopa f-18 diag per mci	$470.40	
A9604	Sm 153 lexidronam	"$4,070.67"	
A9606	Radium ra223 dichloride ther	$155.90	
A9607	Lutetium lu 177 vipivotide	$227.58	
A9608	Flotufolastat f18 diag 1 mci	$614.78	
A9615	"Inj, pegulicianine, 1 mg"	$35.38	
A9800	Gallium locametz 1 millicuri	$824.00	
C9067	Gallium ga-68 dotatoc	$3.82	
C9257	Bevacizumab injection	$1.72	
C9482	Sotalol hydrochloride iv	$21.53	
J0129	Abatacept injection	$40.98	
J0139	"Inj, adalimumab, 1 mg"	$86.53	
J0172	"Inj, aducanumab-avwa, 2 mg"	$5.64	
J0175	"Inj, donanemab-azbt, 2 mg"	$3.97	
J0178	Aflibercept injection	$775.45	
J0179	"Inj, brolucizumab-dbll, 1 mg"	$313.74	
J0180	Agalsidase beta injection	$210.87	
J0202	"Injection, alemtuzumab"	"$2,205.37"	
J0206	Inj allopurinol sodium 1 mg	$4.72	
J0208	Inj sodium thiosulfate 100mg	$90.64	
J0217	Inj velmanase alfa-tycv 1 mg	$416.98	
J0218	Inj olipudase alfa-rpcp 1mg	$360.91	
J0219	Inj aval alfa-nqpt 4mg	$73.35	
J0221	Lumizyme injection	$190.53	
J0222	"Inj., patisiran, 0.1 mg"	$93.28	
J0223	Inj givosiran 0.5 mg	$105.79	
J0224	"Inj. lumasiran, 0.5 mg"	$299.88	
J0225	"Inj, vutrisiran, 1 mg"	"$4,647.17"	
J0256	Alpha 1 proteinase inhibitor	$4.66	
J0257	Glassia injection	$5.26	
J0349	"Inj, rezafungin, 1 mg"	$9.55	
J0391	"Inj, artesunate, 1mg"	$48.90	
J0401	"Inj, abilify maintena, 1 mg"	$6.67	
J0402	"Inj, abilify asimtufii, 1 mg"	$5.61	
J0480	Basiliximab	"$4,329.03"	
J0485	Belatacept injection	$3.60	
J0490	Belimumab injection	$51.08	
J0491	Inj anifrolumab-fnia 1mg	$16.31	
J0517	"Inj., benralizumab, 1 mg"	$157.83	
J0565	"Inj, bezlotoxumab, 10 mg"	$37.61	
J0578	"Inj brixadi, more than 7 day"	"$1,619.46"	
J0584	"Injection, burosumab-twza 1m"	$443.00	
J0586	Abobotulinumtoxina	$8.14	
J0596	"Injection, ruconest"	$32.76	
J0597	"C-1 esterase, berinert"	$64.49	
J0598	"C-1 esterase, cinryze"	$60.58	
J0600	Edetate calcium disodium inj	"$5,741.81"	
J0630	Calcitonin salmon injection	"$1,106.66"	
J0638	Canakinumab injection	$120.58	
J0716	Centruroides immune f(ab)	"$4,532.30"	
J0717	Certolizumab pegol inj 1mg	$4.39	
J0739	"Hiv prep, inj, cabotegravir"	$0.00	
J0741	"Inj, cabote rilpivir 2mg 3mg"	$21.60	
J0775	"Collagenase, clost hist inj"	$67.13	
J0791	Inj crizanlizumab-tmca 5mg	$121.26	
J0840	Crotalidae poly immune fab	"$1,662.59"	
J0841	Inj crotalidae im f(ab')2 eq	$981.24	
J0850	Cytomegalovirus imm iv /vial	"$1,712.21"	
J0870	"Injection, imetelstat, 1 mg"	$52.57	
J0875	"Injection, dalbavancin"	$14.73	
J0896	Inj luspatercept-aamt 0.25mg	$38.32	
J0897	Denosumab injection	$25.43	
J1162	Digoxin immune fab (ovine)	"$4,611.42"	
J1203	"Inj, cipaglucosidase, 5 mg"	$83.07	
J1290	Ecallantide injection	$533.80	
J1300	Eculizumab injection	$211.92	
J1302	"Inj, sutimlimab-jome, 10 mg"	$17.10	
J1303	"Inj., ravulizumab-cwvz 10 mg"	$208.26	
J1304	Inj tofersen intrathec 1 mg	$144.97	
J1305	"Inj, evinacumab-dgnb, 5mg"	$175.76	
J1306	"Injection, inclisiran, 1 mg"	$11.50	
J1307	"Inj, crovalimab-akkz, 10 mg"	$520.29	
J1322	"Elosulfase alfa, injection"	$277.28	
J1323	"Inj, elranatamab-bcmm, 1 mg"	$168.72	
J1411	"Inj, hemgenix, per tx dose"	"$3,465,000.00"	
J1412	Inj roctavian ml 2x10^13vc g	"$11,328.13"	
J1413	Inj delandistrogene mox rokl	"$3,137,221.47"	
J1414	"Inj, beqvez, per tx dose"	"$3,400,943.40"	
J1437	Inj. fe derisomaltose 10 mg	$19.86	
J1438	Etanercept injection	$746.02	
J1440	Fecal microbiota jslm 1 ml	$59.72	
J1448	"Injection, trilaciclib, 1mg"	$5.06	
J1449	Inj eflapegrastim-xnst 0.1mg	$21.47	
J1459	Inj ivig privigen 500 mg	$45.83	
J1555	"Inj cuvitru, 100 mg"	$15.87	
J1557	Gammaplex injection	$54.65	
J1558	"Inj. xembify, 100 mg"	$13.49	
J1559	Hizentra injection	$12.48	
J1561	Gamunex-c/gammaked	$46.04	
