	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
HCPCS Code	Short Descriptor	2025 FR data SI 	2025 FR     data APC 	2025 FR    data CI			
0001A	Adm sarscov2 30mcg/0.3ml 1st	E1		D24			
0001F	Heart failure composite	E1		CP15			
0001M	Infectious dis hcv 6 assays	E1		PD19			
0001U	Rbc dna hea 35 ag 11 bld grp	A		NA17			
0002A	Adm sarscov2 30mcg/0.3ml 2nd	E1		D24			
0002M	Liver dis 10 assays w/ash	N		NO14			
0002U	Onc clrct 3 ur metab alg plp	N		NA17			
0003A	Adm sarscov2 30mcg/0.3ml 3rd	E1		D24			
0003M	Liver dis 10 assays w/nash	N		NO14			
0003U	Onc ovar 5 prtn ser alg scor	N		NA17			
0004A	Adm sarscov2 30mcg/0.3ml bst	E1		D24			
0004M	Scoliosis dna alys	A		NO14			
0005F	Osteoarthritis composite	E1		CP15			
0005U	Onco prst8 3 gene ur alg	N		NJ17			
0006M	Onc hep gene risk classifier	A		NO14			
0006U	Detc ia meds 120+ analytes	N		DA20			
0007M	Onc gastro 51 gene nomogram	A		NO14			
0007U	Rx test prsmv ur w/def conf	N		NP18			
0008U	Hpylori detcj abx rstnc dna	A		NP18			
0009M	Fetal aneuploidy trisom risk	A		PD20			
0009U	Onc brst ca erbb2 amp/nonamp	N		NP18			
00100	Anesth salivary gland	N					
00102	Anesth repair of cleft lip	N					
00103	Anesth blepharoplasty	N					
00104	Anesth electroshock	N					
0010U	Nfct ds strn typ whl gen seq	N		NP18			
0011A	Adm sarscov2 100mcg/0.5ml1st	E1		D24			
0011M	Onc prst8 ca mrna 12 gen alg	A		NA18			
0011U	Rx mntr lc-ms/ms oral fluid	N		NP18			
00120	Anesth ear surgery	N					
00124	Anesth ear exam	N					
00126	Anesth tympanotomy	N					
0012A	Adm sarscov2 100mcg/0.5ml2nd	E1		D24			
0012F	Cap bacterial assess	E1		NJ6			
0012M	Onc mrna 5 gen rsk urthl ca	A		NJ18			
0012U	Germln do gene reargmt detcj	A		DO22 			
0013A	Adm sarscov2 100mcg/0.5ml3rd	E1		D24			
0013M	Onc mrna 5 gen recr urthl ca	A		NJ18			
0013U	Onc sld org neo gene reargmt	A		DO22 			
00140	Anesth procedures on eye	N					
00142	Anesth lens surgery	N					
00144	Anesth corneal transplant	N					
